model,horizon,test_year,y_true,y_pred,train_time_s,peak_memory_mb
Prophet,1,2007,7.234262738177594,8.144400750990668,2.4919145107269287,1.659802
Prophet,1,2008,8.281402712725113,7.784758573384373,2.637214422225952,1.690986
Prophet,1,2009,7.927665247495372,8.30454868476083,2.728192090988159,1.726475
Prophet,1,2010,7.7,8.206497755839406,2.694577693939209,1.761445
Prophet,1,2011,7.7,8.131695721519295,2.8237802982330322,1.795582
Prophet,1,2012,6.662665686341732,7.861023654104154,3.025717258453369,1.829456
Prophet,1,2013,7.383846462514578,7.242377174113846,3.977823495864868,1.863169
Prophet,1,2014,8.57865036450464,7.858747147218255,3.6222290992736816,1.898818
Prophet,1,2015,8.974580086118658,8.32928644737668,3.5915732383728027,1.889872
Prophet,1,2016,7.888437070186669,8.744565729259326,2.2416586875915527,1.922302
Prophet,1,2017,8.280339577079515,8.078368763116195,2.380833864212036,1.959329
Prophet,1,2018,7.755935639187829,8.604018526126314,2.376387596130371,1.991673
Prophet,1,2019,8.935340611677379,7.947038720560102,2.6866555213928223,2.02368
Prophet,1,2020,6.962318260153343,8.438605757567492,2.3328280448913574,2.061355
Prophet,1,2021,7.812622033977193,7.743787133261364,2.7235002517700195,2.09356
Prophet,1,2022,8.570540370269171,8.230645526897478,2.3598883152008057,2.129068
Prophet,1,2023,8.1,8.596363476929527,2.160395383834839,2.164712
Prophet,1,2024,7.281128211789584,8.4151694893072,2.312505006790161,2.20182
Prophet,2,2002,8.0,8.28319585119991,2.494015693664551,1.501064
Prophet,2,2003,7.78,8.229254802377762,2.3332784175872803,1.497656
Prophet,2,2004,7.77,8.248892100803978,2.3982338905334473,1.569375
Prophet,2,2005,7.96,8.284912354045117,2.470402717590332,1.562804
Prophet,2,2006,8.03864910059748,8.332985359284516,2.3693408966064453,1.635973
Prophet,2,2007,7.234262738177594,8.322935837889649,2.0754435062408447,1.634933
Prophet,2,2008,8.281402712725113,8.487571987205753,2.340082883834839,1.708017
Prophet,2,2009,7.927665247495372,8.39408724130582,2.239320755004883,1.70444
Prophet,2,2010,7.7,8.399869231282372,2.246532917022705,1.758166
Prophet,2,2011,7.7,8.434146525124667,2.4212279319763184,1.793768
Prophet,2,2012,6.662665686341732,8.217526900170743,2.3247299194335938,1.831559
Prophet,2,2013,7.383846462514578,8.205124970992525,2.7917728424072266,1.868193
Prophet,2,2014,8.57865036450464,8.3454335798308,2.486912488937378,1.903678
Prophet,2,2015,8.974580086118658,7.692421198851277,2.388690948486328,1.941827
Prophet,2,2016,7.888437070186669,8.393812781353532,2.298618793487549,1.930364
Prophet,2,2017,8.280339577079515,8.535293350561053,2.350921392440796,1.966919
Prophet,2,2018,7.755935639187829,8.627233071793002,2.3424129486083984,1.964922
Prophet,2,2019,8.935340611677379,8.522312639313185,2.3376762866973877,2.042068
Prophet,2,2020,6.962318260153343,7.997071297536844,2.3378336429595947,2.081544
Prophet,2,2021,7.812622033977193,8.556169094861005,2.3183858394622803,2.114165
Prophet,2,2022,8.570540370269171,8.168725729189156,2.6122374534606934,2.104679
Prophet,2,2023,8.1,8.285052053444744,2.367063283920288,2.191236
Prophet,2,2024,7.281128211789584,8.24304972539147,2.3134915828704834,2.224378
Prophet,3,2003,7.78,8.408378109883898,2.6324126720428467,1.501215
Prophet,3,2004,7.77,8.310721676046871,2.6187517642974854,1.569418
Prophet,3,2005,7.96,8.38677178398997,2.539576292037964,1.574758
Prophet,3,2006,8.03864910059748,8.432243473994035,2.492656707763672,1.615272
Prophet,3,2007,7.234262738177594,8.38728235069669,2.436870574951172,1.654224
Prophet,3,2008,8.281402712725113,8.488374779503088,2.0614194869995117,1.69058
Prophet,3,2009,7.927665247495372,8.513848267240622,2.210315465927124,1.726905
Prophet,3,2010,7.7,8.38302535196247,2.3558554649353027,1.766815
Prophet,3,2011,7.7,8.469729577745143,2.229161024093628,1.756937
Prophet,3,2012,6.662665686341732,8.471080674438847,2.323422431945801,1.843354
Prophet,3,2013,7.383846462514578,8.268332786287864,2.2374022006988525,1.840139
Prophet,3,2014,8.57865036450464,8.269673717498925,2.487367630004883,1.891595
Prophet,3,2015,8.974580086118658,8.137778017657629,2.564483165740967,1.92027
Prophet,3,2016,7.888437070186669,7.731170464387814,2.5308549404144287,1.958327
Prophet,3,2017,8.280339577079515,8.473413223555331,2.450608968734741,1.953043
Prophet,3,2018,7.755935639187829,8.557114052700577,2.25453782081604,1.986917
Prophet,3,2019,8.935340611677379,8.51509478291159,2.5455892086029053,2.022304
Prophet,3,2020,6.962318260153343,8.561873981674536,2.601558208465576,2.186608
Prophet,3,2021,7.812622033977193,8.222028580086926,2.3844363689422607,2.171392
Prophet,3,2022,8.570540370269171,8.610906062661643,2.3211770057678223,2.144821
Prophet,3,2023,8.1,8.322673944299977,2.7428016662597656,2.140335
Prophet,3,2024,7.281128211789584,8.257113988757585,2.759542465209961,2.216321
Prophet,4,2004,7.77,8.510847552177044,2.498413324356079,1.566269
Prophet,4,2005,7.96,8.420698819547946,2.6024348735809326,1.568943
Prophet,4,2006,8.03864910059748,8.477396769088354,2.6503419876098633,1.612426
Prophet,4,2007,7.234262738177594,8.568447675540366,3.0043673515319824,1.6484
Prophet,4,2008,8.281402712725113,8.489730699832776,2.5492494106292725,1.683548
Prophet,4,2009,7.927665247495372,8.547982815016114,2.098487615585327,1.720147
Prophet,4,2010,7.7,8.649155958441858,2.259000778198242,1.714708
Prophet,4,2011,7.7,8.477296390167075,2.2266428470611572,1.796
Prophet,4,2012,6.662665686341732,8.55385031588403,2.2556488513946533,1.807495
Prophet,4,2013,7.383846462514578,8.566365936650257,2.306398868560791,1.851339
Prophet,4,2014,8.57865036450464,8.309436572760285,2.189885139465332,1.892949
Prophet,4,2015,8.974580086118658,8.3060870003727,2.3581042289733887,1.935897
Prophet,4,2016,7.888437070186669,8.276306241910403,2.3402633666992188,1.976941
Prophet,4,2017,8.280339577079515,7.720834071407203,2.3591442108154297,2.014623
Prophet,4,2018,7.755935639187829,8.520649855262539,2.4414165019989014,2.012016
Prophet,4,2019,8.935340611677379,8.615856034028376,2.520857810974121,2.009642
Prophet,4,2020,6.962318260153343,8.632046383484626,2.5717291831970215,2.092889
Prophet,4,2021,7.812622033977193,8.616920180880106,2.4316797256469727,2.133471
Prophet,4,2022,8.570540370269171,8.229667366998344,2.42641544342041,2.126242
Prophet,4,2023,8.1,8.656145184611375,2.3364455699920654,2.175371
Prophet,4,2024,7.281128211789584,8.358170333569412,2.7549543380737305,2.213925
RandomForest,1,2001,7.08,6.713939484144081,2.3289904594421387,0.403043
RandomForest,1,2002,8.0,6.719821385634508,1.9974098205566406,0.401068
RandomForest,1,2003,7.78,6.745561360207931,2.0769357681274414,0.387208
RandomForest,1,2004,7.77,7.285710445498423,2.0805623531341553,0.389614
RandomForest,1,2005,7.96,6.8835951638247135,2.0467193126678467,0.394064
RandomForest,1,2006,8.03864910059748,7.19478867382424,1.7204077243804932,0.39043
RandomForest,1,2007,7.234262738177594,7.143658272120427,1.8827488422393799,0.3944
RandomForest,1,2008,8.281402712725113,6.889842604964138,1.9385242462158203,0.38693
RandomForest,1,2009,7.927665247495372,7.317571332541973,1.7937946319580078,0.397716
RandomForest,1,2010,7.7,7.5514148243308865,1.7896254062652588,0.400048
RandomForest,1,2011,7.7,7.627288957760081,1.6299326419830322,0.397457
RandomForest,1,2012,6.662665686341732,6.9103220252622215,1.7834961414337158,0.400217
RandomForest,1,2013,7.383846462514578,7.507032363312169,1.7334566116333008,0.401987
RandomForest,1,2014,8.57865036450464,6.949602728904182,1.767176628112793,0.403901
RandomForest,1,2015,8.974580086118658,7.295057263184865,1.6970436573028564,0.396423
RandomForest,1,2016,7.888437070186669,7.795018374249891,1.8540430068969727,0.406564
RandomForest,1,2017,8.280339577079515,7.34701430032718,1.8310472965240479,0.407371
RandomForest,1,2018,7.755935639187829,7.409565695663348,1.8645250797271729,0.40416
RandomForest,1,2019,8.935340611677379,6.973753269323653,2.004883289337158,0.409807
RandomForest,1,2020,6.962318260153343,7.338002636328626,1.7305092811584473,0.412928
RandomForest,1,2021,7.812622033977193,7.109077240415826,2.0008721351623535,0.414635
RandomForest,1,2022,8.570540370269171,7.413678231642012,1.7176117897033691,0.406471
RandomForest,1,2023,8.1,7.457408058736224,1.6655688285827637,0.414389
RandomForest,1,2024,7.281128211789584,7.602957070789541,1.6670386791229248,0.417354
RandomForest,2,2002,8.0,6.7198276745758685,2.312901020050049,0.38453
RandomForest,2,2003,7.78,6.849911945568363,1.9960601329803467,0.388591
RandomForest,2,2004,7.77,6.830435160269471,2.0703482627868652,0.383524
RandomForest,2,2005,7.96,6.975264415540635,2.056865930557251,0.389263
RandomForest,2,2006,8.03864910059748,6.858329236951583,1.986872911453247,0.389524
RandomForest,2,2007,7.234262738177594,6.956002163536488,1.6399664878845215,0.391417
RandomForest,2,2008,8.281402712725113,6.863682120920497,1.919677734375,0.390351
RandomForest,2,2009,7.927665247495372,6.862632456294559,2.014726400375366,0.373043
RandomForest,2,2010,7.7,7.121882484266422,1.9721829891204834,0.393902
RandomForest,2,2011,7.7,7.290245795547346,2.0916500091552734,0.394431
RandomForest,2,2012,6.662665686341732,7.276516938936083,1.7567811012268066,0.397001
RandomForest,2,2013,7.383846462514578,6.995698444278588,1.857133388519287,0.397132
RandomForest,2,2014,8.57865036450464,7.2044513704294015,1.883070945739746,0.399452
RandomForest,2,2015,8.974580086118658,7.027167658715452,1.8458805084228516,0.396183
RandomForest,2,2016,7.888437070186669,7.296329096706791,1.8328335285186768,0.405784
RandomForest,2,2017,8.280339577079515,7.719983963431797,1.8910918235778809,0.403485
RandomForest,2,2018,7.755935639187829,7.290075482385224,1.7963595390319824,0.40533
RandomForest,2,2019,8.935340611677379,7.347207169360854,1.906785488128662,0.406234
RandomForest,2,2020,6.962318260153343,7.122374637714149,1.8406121730804443,0.407288
RandomForest,2,2021,7.812622033977193,7.299213731461627,1.9158587455749512,0.404276
RandomForest,2,2022,8.570540370269171,7.328112909607421,1.9561684131622314,0.410747
RandomForest,2,2023,8.1,7.3881463512247025,1.9465394020080566,0.410389
RandomForest,2,2024,7.281128211789584,7.53375259440454,1.6044552326202393,0.41329
RandomForest,3,2003,7.78,6.70936163562593,2.295107364654541,0.381952
RandomForest,3,2004,7.77,6.716576820154888,1.9416112899780273,0.383575
RandomForest,3,2005,7.96,6.744438718358604,2.040276527404785,0.380497
RandomForest,3,2006,8.03864910059748,6.857122789567461,2.046261787414551,0.388781
RandomForest,3,2007,7.234262738177594,6.858055330968677,2.071744680404663,0.38595
RandomForest,3,2008,8.281402712725113,6.875770549767574,1.5959625244140625,0.389075
RandomForest,3,2009,7.927665247495372,6.889539393182708,1.7620058059692383,0.389045
RandomForest,3,2010,7.7,6.847856877051349,1.7631685733795166,0.392181
RandomForest,3,2011,7.7,6.870611213625196,1.745528221130371,0.38058
RandomForest,3,2012,6.662665686341732,7.1134939602685785,1.7434539794921875,0.396706
RandomForest,3,2013,7.383846462514578,7.257531323526836,1.6180777549743652,0.395804
RandomForest,3,2014,8.57865036450464,6.956217892278264,1.7533142566680908,0.397604
RandomForest,3,2015,8.974580086118658,7.270517439329266,1.7268378734588623,0.399849
RandomForest,3,2016,7.888437070186669,7.129364407368715,1.749507188796997,0.399859
RandomForest,3,2017,8.280339577079515,7.24964226367405,1.6243853569030762,0.402811
RandomForest,3,2018,7.755935639187829,7.31816386994534,1.5558297634124756,0.394482
RandomForest,3,2019,8.935340611677379,7.336512425149464,1.7069194316864014,0.406414
RandomForest,3,2020,6.962318260153343,7.3470643310082995,1.7585771083831787,0.407381
RandomForest,3,2021,7.812622033977193,7.094849254849062,1.6702594757080078,0.408028
RandomForest,3,2022,8.570540370269171,7.303490402830822,1.6609342098236084,0.408918
RandomForest,3,2023,8.1,7.288864600064671,1.8627140522003174,0.409868
RandomForest,3,2024,7.281128211789584,7.40517629297099,1.657602310180664,0.406524
RandomForest,4,2004,7.77,6.705092368959263,2.0528457164764404,0.380838
RandomForest,4,2005,7.96,6.726622973257342,1.9112157821655273,0.383799
RandomForest,4,2006,8.03864910059748,6.7630836718107075,2.0287036895751953,0.387322
RandomForest,4,2007,7.234262738177594,6.772621150592059,2.0439140796661377,0.3863
RandomForest,4,2008,8.281402712725113,6.855192459173805,2.0004196166992188,0.387651
RandomForest,4,2009,7.927665247495372,6.8861480005501265,1.5969598293304443,0.383764
RandomForest,4,2010,7.7,6.855561714341892,1.7577040195465088,0.39106
RandomForest,4,2011,7.7,6.846798143718016,2.1879420280456543,0.395052
RandomForest,4,2012,6.662665686341732,6.842519945641777,1.9268553256988525,0.394313
RandomForest,4,2013,7.383846462514578,6.87166115755194,1.756577968597412,0.39489
RandomForest,4,2014,8.57865036450464,7.125850074104209,1.659137487411499,0.395632
RandomForest,4,2015,8.974580086118658,6.960545596750656,1.8295209407806396,0.393374
RandomForest,4,2016,7.888437070186669,7.204636257555014,1.7557923793792725,0.401341
RandomForest,4,2017,8.280339577079515,7.133258179673954,1.771827220916748,0.401965
RandomForest,4,2018,7.755935639187829,7.24964226367405,1.785552978515625,0.402514
