year,month,rainfall
1907,5,94.2
1907,6,111.9
1907,7,67.9
1907,8,101.8
1907,9,29.3
1907,10,146.5
1907,11,88.5
1907,12,120.0
1908,1,82.5
1908,2,78.4
1908,3,113.4
1908,4,70.0
1908,5,65.5
1908,6,53.3
1908,7,85.0
1908,8,96.9
1908,9,108.8
1908,10,52.7
1908,11,76.4
1908,12,95.9
1909,1,79.5
1909,2,44.3
1909,3,97.9
1909,4,80.3
1909,5,56.6
1909,6,72.8
1909,7,101.9
1909,8,78.5
1909,9,72.0
1909,10,160.3
1909,11,57.3
1909,12,135.2
1910,1,109.1
1910,2,122.6
1910,3,49.7
1910,4,93.3
1910,5,70.0
1910,6,68.4
1910,7,95.4
1910,8,138.7
1910,9,26.9
1910,10,87.2
1910,11,127.0
1910,12,140.2
1911,1,58.5
1911,2,98.1
1911,3,61.7
1911,4,68.9
1911,5,51.8
1911,6,77.6
1911,7,43.8
1911,8,68.8
1911,9,68.4
1911,10,90.8
1911,11,139.5
1911,12,183.5
1912,1,108.9
1912,2,78.2
1912,3,126.5
1912,4,34.9
1912,5,57.7
1912,6,123.5
1912,7,90.8
1912,8,166.8
1912,9,56.5
1912,10,113.7
1912,11,103.3
1912,12,157.5
1913,1,121.6
1913,2,56.7
1913,3,128.2
1913,4,102.1
1913,5,81.1
1913,6,63.5
1913,7,32.7
1913,8,43.9
1913,9,72.3
1913,10,101.0
1913,11,123.9
1913,12,84.7
1914,1,76.7
1914,2,113.6
1914,3,122.7
1914,4,52.9
1914,5,59.0
1914,6,52.1
1914,7,91.7
1914,8,80.3
1914,9,57.0
1914,10,62.1
1914,11,136.1
1914,12,196.9
1915,1,115.2
1915,2,138.7
1915,3,53.8
1915,4,63.6
1915,5,51.8
1915,6,35.6
1915,7,122.7
1915,8,80.2
1915,9,53.7
1915,10,73.2
1915,11,81.2
1915,12,179.9
1916,1,107.8
1916,2,134.4
1916,3,86.1
1916,4,69.5
1916,5,91.3
1916,6,72.3
1916,7,71.3
1916,8,89.8
1916,9,55.2
1916,10,168.1
1916,11,129.0
1916,12,105.0
1917,1,71.9
1917,2,33.9
1917,3,70.9
1917,4,62.0
1917,5,67.4
1917,6,71.0
1917,7,59.5
1917,8,166.6
1917,9,75.1
1917,10,164.3
1917,11,118.6
1917,12,60.4
1918,1,101.6
1918,2,103.4
1918,3,41.9
1918,4,49.3
1918,5,63.0
1918,6,43.0
1918,7,119.7
1918,8,83.7
1918,9,178.1
1918,10,105.1
1918,11,94.4
1918,12,130.2
1919,1,117.2
1919,2,58.6
1919,3,113.8
1919,4,80.7
1919,5,29.1
1919,6,64.4
1919,7,49.6
1919,8,90.3
1919,9,81.6
1919,10,69.6
1919,11,99.0
1919,12,161.3
1920,1,137.5
1920,2,93.7
1920,3,106.6
1920,4,106.8
1920,5,94.5
1920,6,57.5
1920,7,123.5
1920,8,70.5
1920,9,76.5
1920,10,74.8
1920,11,81.7
1920,12,104.3
1921,1,148.2
1921,2,24.1
1921,3,102.2
1921,4,38.0
1921,5,62.7
1921,6,18.4
1921,7,58.3
1921,8,107.9
1921,9,52.9
1921,10,81.2
1921,11,71.0
1921,12,126.7
1922,1,119.9
1922,2,110.3
1922,3,70.9
1922,4,85.6
1922,5,62.0
1922,6,51.8
1922,7,116.6
1922,8,98.3
1922,9,79.4
1922,10,46.5
1922,11,65.5
1922,12,125.7
1923,1,102.7
1923,2,151.8
1923,3,50.3
1923,4,77.6
1923,5,78.2
1923,6,36.0
1923,7,88.4
1923,8,128.0
1923,9,110.7
1923,10,156.5
1923,11,109.9
1923,12,113.5
1924,1,102.4
1924,2,39.6
1924,3,36.1
1924,4,75.6
1924,5,119.7
1924,6,71.5
1924,7,120.9
1924,8,113.3
1924,9,132.1
1924,10,118.8
1924,11,81.6
1924,12,151.8
1925,1,100.1
1925,2,134.0
1925,3,50.4
1925,4,93.4
1925,5,118.1
1925,6,14.2
1925,7,73.4
1925,8,86.0
1925,9,102.5
1925,10,111.3
1925,11,64.7
1925,12,109.0
1926,1,137.3
1926,2,93.2
1926,3,58.9
1926,4,69.1
1926,5,74.5
1926,6,78.1
1926,7,79.6
1926,8,86.3
1926,9,78.2
1926,10,113.8
1926,11,163.0
1926,12,50.8
1927,1,124.0
1927,2,74.0
1927,3,91.9
1927,4,81.5
1927,5,50.3
1927,6,106.6
1927,7,96.3
1927,8,132.2
1927,9,152.8
1927,10,108.5
1927,11,116.0
1927,12,63.9
1928,1,197.8
1928,2,101.8
1928,3,94.5
1928,4,47.4
1928,5,40.1
1928,6,110.0
1928,7,69.8
1928,8,110.6
1928,9,59.3
1928,10,157.6
1928,11,145.0
1928,12,104.8
1929,1,48.7
1929,2,37.4
1929,3,16.2
1929,4,40.1
1929,5,69.2
1929,6,61.0
1929,7,78.9
1929,8,107.5
1929,9,45.7
1929,10,148.2
1929,11,185.5
1929,12,209.2
1930,1,148.4
1930,2,24.9
1930,3,70.1
1930,4,66.4
1930,5,59.6
1930,6,53.0
1930,7,102.0
1930,8,140.6
1930,9,111.8
1930,10,136.3
1930,11,141.0
1930,12,113.2
1931,1,106.4
1931,2,99.6
1931,3,28.0
1931,4,86.8
1931,5,95.1
1931,6,111.0
1931,7,116.1
1931,8,98.0
1931,9,64.8
1931,10,63.4
1931,11,154.7
1931,12,82.3
1932,1,135.4
1932,2,9.6
1932,3,70.0
1932,4,99.7
1932,5,107.1
1932,6,35.5
1932,7,109.5
1932,8,58.0
1932,9,108.6
1932,10,167.8
1932,11,87.6
1932,12,98.6
1933,1,95.1
1933,2,104.1
1933,3,72.8
1933,4,53.7
1933,5,54.1
1933,6,61.4
