model,horizon,test_year,y_true,y_pred,pi_lower,pi_upper,pi_width,covered
Prophet,1,2009,7.927665247495372,8.304548684741054,7.559875808551855,9.049268381402054,1.4893925728501998,True
Prophet,2,2010,7.7,8.399869228276385,7.592331047502437,9.078777807448008,1.4864467599455704,True
Prophet,3,2011,7.7,8.46972957477297,7.680076998889057,9.27205591371784,1.5919789148287815,True
Prophet,4,2012,6.662665686341732,8.553850314012237,7.758159500439422,9.368901621776372,1.6107421213369495,False
Prophet,1,2010,7.7,8.20649775583929,7.38030192421854,8.991132643699698,1.6108307194811582,True
Prophet,2,2011,7.7,8.434146525371423,7.612031430650238,9.168447474553329,1.5564160439030903,True
Prophet,3,2012,6.662665686341732,8.47108067487344,7.723211404343304,9.25679744027491,1.5335860359316067,False
Prophet,4,2013,7.383846462514578,8.566365936814934,7.801065909512989,9.32270316083711,1.5216372513241208,False
Prophet,1,2011,7.7,8.131695721557461,7.358061849505173,8.87461464921092,1.5165527997057475,True
Prophet,2,2012,6.662665686341732,8.217526900329503,7.427092909457035,8.980182473621348,1.5530895641643123,False
Prophet,3,2013,7.383846462514578,8.268332786483377,7.531245939362655,8.958610396787538,1.4273644574248827,False
Prophet,4,2014,8.57865036450464,8.309436572932967,7.5116630446066495,9.041934338743896,1.5302712941372452,True
Prophet,1,2012,6.662665686341732,7.861023653935518,7.17813874271075,8.551822620244764,1.3736838775340132,False
Prophet,2,2013,7.383846462514578,8.205124971044551,7.4744272964852625,8.907378205989811,1.432950909504549,False
Prophet,3,2014,8.57865036450464,8.269673717741568,7.533954048585767,8.994641628967178,1.4606875803814114,True
Prophet,4,2015,8.974580086118658,8.306087000584037,7.561273766689625,9.103641292971384,1.5423675262817609,True
Prophet,1,2013,7.383846462514578,7.242377134005181,6.44168940011312,8.055978342459884,1.6142889423467643,True
Prophet,2,2014,8.57865036450464,8.34543343897826,7.61168981930669,9.117338075888563,1.505648256581873,True
Prophet,3,2015,8.974580086118658,8.137777894829762,7.407914576223685,8.906105573985977,1.4981909977622916,False
Prophet,4,2016,7.888437070186669,8.276306094009893,7.552283937986131,9.018509907612415,1.4662259696262847,True
Prophet,1,2014,8.57865036450464,7.858747147718839,7.107708118203679,8.603373170281522,1.4956650520778425,True
Prophet,2,2015,8.974580086118658,7.69242119427304,6.940861531190576,8.43631682187716,1.495455290686584,False
Prophet,3,2016,7.888437070186669,7.731170462002307,6.99963475178703,8.459518620604738,1.459883868817708,True
Prophet,4,2017,8.280339577079515,7.720834070141082,6.988780853308873,8.469207781035058,1.4804269277261852,True
Prophet,1,2015,8.974580086118658,8.329286447337758,7.496599009090869,9.14731168266507,1.6507126735742004,True
Prophet,2,2016,7.888437070186669,8.393812781429038,7.492756830345904,9.295400123280444,1.8026432929345404,True
Prophet,3,2017,8.280339577079515,8.473413223500398,7.60564287757144,9.361395981957743,1.7557531043863053,True
Prophet,4,2018,7.755935639187829,8.520649855226118,7.648557221599055,9.38707332098125,1.7385160993821946,True
Prophet,1,2016,7.888437070186669,8.744565729232782,7.859912686330921,9.60981685481454,1.7499041684836198,True
Prophet,2,2017,8.280339577079515,8.535293350621318,7.674124852297199,9.381638471889683,1.7075136195924865,True
Prophet,3,2018,7.755935639187829,8.557114052670713,7.601873707574992,9.449510594794498,1.8476368872195064,True
