model,horizon,test_year,y_true,y_pred,pi_lower,pi_upper,pi_width,interval_score,covered
ARIMA,2,2006,8.03864910059748,7.571545854647483,6.467223174912768,8.675868534382197,2.208645359469428,2.2086,True
ARIMA,3,2007,7.234262738177594,7.4918306815708755,6.243760625354097,8.739900737787654,2.4961401124335563,2.4961,True
ARIMA,4,2008,8.281402712725113,7.4335083230958094,6.117331644666181,8.749685001525439,2.632353356859258,2.6324,True
ARIMA,1,2006,8.03864910059748,7.7331199064398985,6.731954910525129,8.734284902354668,2.002329991829539,2.0023,True
ARIMA,2,2007,7.234262738177594,7.71067353670865,6.618893628891854,8.802453444525446,2.1835598156335916,2.1836,True
ARIMA,3,2008,8.281402712725113,7.60986777020219,6.368306963204943,8.851428577199439,2.483121613994496,2.4831,True
ARIMA,4,2009,7.927665247495372,7.557011664076827,6.242471759248097,8.871551568905556,2.6290798096574584,2.6291,True
ARIMA,1,2007,7.234262738177594,7.865706989245612,6.878737590657645,8.85267638783358,1.9739387971759346,1.9739,True
ARIMA,2,2008,8.281402712725113,7.820213923072687,6.738908276985587,8.901519569159786,2.1626112921741996,2.1626,True
ARIMA,3,2009,7.927665247495372,7.729693359208214,6.4940022322716215,8.965384486144806,2.471382253873185,2.4714,True
ARIMA,4,2010,7.7,7.670725140370495,6.356713319707019,8.98473696103397,2.6280236413269513,2.628,True
ARIMA,1,2008,8.281402712725113,7.504575472489199,6.5059586232254,8.503192321752998,1.997233698527598,1.9972,True
ARIMA,2,2009,7.927665247495372,7.308895342098852,6.222802269117527,8.394988415080178,2.172186145962651,2.1722,True
ARIMA,3,2010,7.7,7.329819679679592,6.103680595972902,8.555958763386283,2.4522781674133807,2.4523,True
ARIMA,4,2011,7.7,7.2630450401631865,5.970618134874449,8.555471945451924,2.5848538105774743,2.5849,True
ARIMA,1,2009,7.927665247495372,7.61098951385157,6.596880509537026,8.625098518166114,2.0282180086290875,2.0282,True
ARIMA,2,2010,7.7,7.837817433457079,6.75245641418903,8.923178452725129,2.1707220385360984,2.1707,True
ARIMA,3,2011,7.7,7.615404412529174,6.36800901823554,8.862799806822808,2.4947907885872684,2.4948,True
ARIMA,4,2012,6.662665686341732,7.635099505445056,6.321205062764127,8.948993948125985,2.6277888853618574,2.6278,True
ARIMA,1,2010,7.7,7.838297785013172,6.843039503666836,8.833556066359506,1.9905165626926697,1.9905,True
ARIMA,2,2011,7.7,7.808148668969671,6.741760322233449,8.874537015705894,2.1327766934724446,2.1328,True
ARIMA,3,2012,6.662665686341732,7.77921541257692,6.65127933260375,8.90715149255009,2.2558721599463407,2.2559,True
ARIMA,4,2013,7.383846462514578,7.751448982400962,6.569661337378188,8.933236627423737,2.3635752900455493,2.3636,True
ARIMA,1,2011,7.7,7.655802844964124,6.819278737682796,8.492326952245453,1.6730482145626562,1.673,True
ARIMA,2,2012,6.662665686341732,7.586218818167167,6.7484625923466215,8.423975043987712,1.6755124516410902,5.1074,False
ARIMA,3,2013,7.383846462514578,7.5092481744557995,6.669945753519594,8.348550595392005,1.6786048418724118,1.6786,True
ARIMA,4,2014,8.57865036450464,7.42585842341164,6.584762294424316,8.266954552398964,1.6821922579746484,14.15,False
ARIMA,1,2012,6.662665686341732,7.702612081840456,6.737196751669246,8.668027412011666,1.9308306603424201,4.9121,False
ARIMA,2,2013,7.383846462514578,7.676155561057971,6.642261687562895,8.710049434553047,2.0677877469901524,2.0678,True
ARIMA,3,2014,8.57865036450464,7.650800590079841,6.557785104142815,8.743816076016866,2.186030971874051,2.186,True
ARIMA,4,2015,8.974580086118658,7.626501304524219,6.4818721290856685,8.771130479962771,2.2892583508771027,10.4272,False
ARIMA,1,2013,7.383846462514578,7.151780785559459,6.138472408715314,8.165089162403603,2.0266167536882893,2.0266,True
ARIMA,2,2014,8.57865036450464,6.927934870999517,5.835700685736028,8.020169056263008,2.1844683705269796,24.5237,False
ARIMA,3,2015,8.974580086118658,7.0362073897426045,5.801923967936716,8.270490811548493,2.468566843611777,30.6321,False
ARIMA,4,2016,7.888437070186669,6.989000684047295,5.692574577781292,8.285426790313299,2.592852212532007,2.5929,True
ARIMA,1,2014,8.57865036450464,7.01192891705465,6.011182975157826,8.012674858951474,2.0014918837936477,24.6405,False
ARIMA,2,2015,8.974580086118658,7.175310312359559,6.103124471483987,8.247496153235131,2.144371681751144,31.2277,False
ARIMA,3,2016,7.888437070186669,7.080125351340306,5.864359746729313,8.295890955951299,2.431531209221985,2.4315,True
ARIMA,4,2017,8.280339577079515,7.112936649408995,5.8380012089742825,8.387872089843707,2.549870880869425,2.5499,True
ARIMA,1,2015,8.974580086118658,7.743455585147711,6.67134466779505,8.815566502500372,2.1442218347053226,8.5048,False
ARIMA,2,2016,7.888437070186669,7.715968480748618,6.5854500753272065,8.84648688617003,2.261036810842824,2.261,True
ARIMA,3,2017,8.280339577079515,7.689690643907222,6.508313798769216,8.871067489045227,2.362753690276011,2.3628,True
ARIMA,4,2018,7.755935639187829,7.664568874111572,6.438553934133107,8.890583814090036,2.452029879956929,2.452,True
ARIMA,1,2016,7.888437070186669,8.466604939661813,7.292978037368728,9.640231841954899,2.3472538045861704,2.3473,True
ARIMA,2,2017,8.280339577079515,8.116603222853419,6.691364147193908,9.541842298512929,2.850478151319021,2.8505,True
ARIMA,3,2018,7.755935639187829,7.875447326500463,6.345172312491941,9.405722340508987,3.0605500280170466,3.0606,True
ARIMA,4,2019,8.935340611677379,7.709287666267612,6.131593942502921,9.286981390032304,3.1553874475293835,3.1554,True
